TEAM,Game 1,Game 2,Game 3,Game 4,Game 5,Game 6,Game 7,Game 8,Game 9,Game 10,Game 11,Game 12,Game 13,Game 14,Game 15,Game 16,Game 17,Game 18,Game 19,Game 20,Game 21,Game 22,Game 23,Game 24,Game 25,Game 26,Game 27,Game 28,Game 29,Game 30,Game 31,Game 32,Game 33,Game 34,Game 35,Game 36,Game 37,Game 38,Game 39,Game 40,Game 41,Game 42,Game 43,Game 44,Game 45,Game 46,Game 47,Game 48,Game 49,Game 50,Game 51,Game 52,Game 53,Game 54,Game 55,Game 56,Game 57,Game 58,Game 59,Game 60,Game 61,Game 62,Game 63,Game 64,Game 65,Game 66,Game 67,Game 68,Game 69,Game 70,Game 71,Game 72
NOP,@TOR,@MIA,SAS,@PHO,@OKC,TOR,IND,OKC,CHA,@LAC,@LAL,@SAC,@UTA,@UTA,@MIN,WAS,MIL,HOU,SAC,PHO,@IND,MEM,HOU,@CHI,@DAL,@DET,@MEM,POR,PHO,BOS,DET,@MIL,@SAS,UTA,CHI,MIA,MIN,CLE,LAC,@POR,@POR,@DEN,LAL,DEN,DAL,@BOS,ORL,ATL,@HOU,@ATL,@BKN,PHI,@CLE,SAC,NYK,@WAS,@NYK,BKN,@ORL,SAS,LAC,@DEN,@OKC,@MIN,GSW,GSW,@PHI,@CHA,@MEM,@DAL,@GSW,LAL
POR,UTA,HOU,@LAL,@LAC,@GSW,@GSW,CHI,MIN,@SAC,TOR,@SAC,IND,ATL,SAS,NYK,OKC,@HOU,@CHI,@MIL,@WAS,@PHI,@NYK,ORL,PHI,CLE,@DAL,@OKC,@NOR,WAS,@PHO,@DEN,@LAL,CHA,GSW,SAC,PHO,@MIN,@MIN,NOR,NOR,DAL,DAL,BKN,@MIA,@ORL,@TOR,@DET,MIL,OKC,@LAC,@UTA,DET,MIA,BOS,@SAS,@CHA,LAC,DEN,MEM,MEM,@IND,@MEM,@BKN,@BOS,@ATL,@CLE,LAL,SAS,HOU,@UTA,@PHO,DEN
IND,NYK,@CHI,BOS,BOS,CLE,NYK,@NOR,HOU,PHO,@SAC,@GSW,@POR,@LAC,DAL,ORL,TOR,TOR,@CHA,@CHA,PHI,MEM,@MIL,NOR,UTA,@BKN,@DET,@ATL,CHI,@MIN,GSW,@BOS,@NYK,@PHI,@CLE,DEN,@LAL,@PHO,@DEN,BKN,@MIA,@MIA,@MIL,DET,@DAL,@WAS,MIA,CHA,@SAS,CHI,MIN,@ORL,@MEM,LAC,@HOU,@UTA,@ATL,SAS,OKC,DET,@ORL,POR,BKN,@OKC,@WAS,SAC,ATL,WAS,@CLE,PHI,MIL,LAL,@TOR
ATL,@CHI,@MEM,DET,@BKN,@BKN,CLE,NYK,CHA,@CHA,PHI,@UTA,@POR,MIN,DET,@MIN,@MIL,LAC,BKN,@WAS,LAL,DAL,UTA,TOR,@DAL,SAS,IND,@NYK,@BOS,@BOS,DEN,@CLE,BOS,@OKC,@MIA,@MIA,@ORL,@TOR,SAC,CLE,@HOU,OKC,@LAL,@LAC,@SAC,@GSW,@DEN,@PHO,@SAS,@NOR,GSW,NOR,MEM,CHI,@CHA,@TOR,MIL,IND,ORL,@NYK,MIA,MIL,@DET,@PHI,@PHI,CHI,POR,PHO,@IND,WAS,WAS,ORL,HOU
MIN,DET,@UTA,@LAL,@LAC,WAS,DEN,@DEN,@POR,SAS,SAS,MEM,@ATL,ORL,ATL,NOR,@GSW,@GSW,PHI,CLE,@CLE,@SAS,@OKC,@OKC,@DAL,LAC,@CHA,@TOR,LAL,IND,TOR,@NYK,@MIL,@CHI,@WAS,PHO,CHA,@NOR,POR,POR,@LAL,@PHO,@PHO,OKC,DAL,HOU,HOU,@BKN,NYK,@MEM,@PHI,SAC,@IND,@BOS,CHI,BKN,MIL,MIA,@LAC,@SAC,@SAC,@UTA,UTA,@HOU,GSW,NOR,MEM,@MIA,@ORL,@DET,DEN,BOS,DAL
SAS,@MEM,TOR,@NOR,LAL,LAL,UTA,@LAC,@LAL,@MIN,@MIN,@OKC,HOU,HOU,@POR,@GSW,DAL,WAS,BOS,DEN,MEM,MEM,MIN,@HOU,GSW,GSW,@ATL,@CHA,@OKC,NOR,BKN,NYK,OKC,@DAL,ORL,@PHI,@DET,@CHI,@CLE,@MIL,CHA,LAC,LAC,CHI,SAC,SAC,ATL,IND,CLE,@DEN,@DEN,@DAL,@ORL,@TOR,POR,@PHO,@IND,MIA,DET,@NOR,@WAS,@MIA,@BOS,PHI,@UTA,@UTA,@SAC,@POR,MIL,@BKN,@NYK,PHO,PHO
MEM,SAS,ATL,@BKN,@BOS,@CHA,LAL,LAL,CLE,BKN,@CLE,@MIN,PHI,PHO,@SAS,@SAS,@IND,HOU,@NOR,TOR,CHA,@LAL,@SAC,NOR,OKC,DET,PHO,@DAL,LAC,LAC,@HOU,@WAS,MIL,WAS,DEN,@OKC,@PHO,MIA,GSW,GSW,BOS,@OKC,@UTA,@UTA,@HOU,UTA,MIN,@PHI,@MIA,@ATL,@NYK,IND,CHI,DAL,@CHI,@MIL,@DEN,@LAC,@POR,@POR,@DEN,POR,ORL,@ORL,NYK,@MIN,@DET,@TOR,NOR,DAL,SAC,SAC,@GSW
ORL,MIA,@WAS,@WAS,@OKC,PHI,OKC,CLE,CLE,@HOU,@DAL,MIL,@BOS,@BKN,@NYK,@MIN,@IND,CHA,CHA,SAC,LAC,@TOR,TOR,CHI,CHI,@POR,@GSW,@SAC,@PHO,NYK,GSW,DET,DET,@BKN,UTA,DAL,ATL,@MIA,@SAS,MIA,@NYK,BKN,@BOS,DEN,PHO,POR,@LAL,@LAC,@NOR,@UTA,@DEN,WAS,IND,MIL,SAS,@CHI,@TOR,HOU,@ATL,NOR,IND,LAL,@CLE,@MEM,MEM,@DET,BOS,@CHA,MIN,@MIL,@ATL,@PHI,@PHI
SAC,@DEN,PHO,PHO,DEN,@HOU,@HOU,@GSW,CHI,TOR,POR,IND,POR,LAC,NOR,@LAC,NYK,@ORL,@TOR,@MIA,@NOR,BOS,DEN,@LAC,PHI,ORL,MEM,BKN,MIA,@CHI,@MIL,@BKN,@NYK,@DET,CHA,LAL,@POR,HOU,@ATL,@CHA,@WAS,@BOS,@PHI,@CLE,ATL,GSW,CLE,@SAS,@SAS,LAL,MIL,@MIN,DET,@UTA,@NOR,WAS,@PHO,@DAL,MIN,MIN,@GSW,DAL,UTA,@LAL,@DAL,@OKC,@IND,SAS,OKC,OKC,@MEM,@MEM,UTA
GSW,@BKN,@MIL,@CHI,@DET,POR,POR,SAC,LAC,LAC,TOR,IND,@DEN,@LAL,SAS,NYK,@UTA,MIN,MIN,@PHO,DET,BOS,@DAL,@DAL,@SAS,@SAS,ORL,BKN,CLE,MIA,@ORL,@CHA,@NYK,@IND,CHA,@LAL,@POR,@PHO,@LAC,UTA,LAL,@HOU,@MEM,@MEM,PHI,@SAC,ATL,CHI,@MIA,@TOR,@ATL,MIL,WAS,HOU,DEN,@OKC,@CLE,@BOS,@PHI,@WAS,DEN,SAC,DAL,@MIN,@HOU,@NOR,@NOR,OKC,OKC,UTA,PHO,NOR,MEM
OKC,@CHA,UTA,ORL,NOR,@ORL,@MIA,@NOR,@NYK,@BKN,SAS,LAL,CHI,@DEN,@LAC,@LAC,@POR,@PHO,BKN,HOU,HOU,MIN,MIN,@LAL,@LAL,@DEN,MIL,POR,@MEM,@MIL,@CLE,MIA,SAS,ATL,DEN,@DAL,@SAS,DAL,NYK,MEM,@CHI,@ATL,@HOU,@MIN,MEM,BOS,DAL,TOR,@PHO,@POR,DET,CHA,CLE,PHI,@UTA,GSW,@DET,@TOR,@WAS,@IND,WAS,@PHI,@BOS,NOR,IND,PHO,SAC,@GSW,@GSW,@SAC,@SAC,UTA,LAC
CLE,CHA,@DET,PHI,NYK,@IND,@ATL,@ORL,@ORL,@MEM,@MIL,MEM,UTA,NYK,BKN,BKN,@BOS,LAL,DET,@NYK,@MIN,MIN,LAC,MIL,MIL,@PHO,@DEN,@POR,@LAC,@GSW,DEN,OKC,ATL,HOU,@PHI,@HOU,IND,@NOR,@ATL,@MIA,BOS,SAS,TOR,SAC,@CHI,@LAL,@SAC,@UTA,PHI,@MIA,@SAS,@OKC,TOR,NOR,@CHA,GSW,@CHI,@DET,CHI,@CHA,@WAS,@TOR,ORL,WAS,MIA,PHO,POR,@DAL,DAL,IND,BOS,@WAS,@BKN
NYK,@IND,PHI,MIL,@CLE,@TOR,@IND,@ATL,UTA,OKC,DEN,@CHA,BKN,@CLE,@BOS,ORL,@GSW,@SAC,@POR,@UTA,CLE,LAC,@CHI,@CHI,POR,MIA,@MIA,@WAS,HOU,ATL,@ORL,MIN,GSW,SAC,IND,@DET,@SAS,DET,@MIL,@OKC,@BKN,@PHI,ORL,PHI,WAS,WAS,@MIL,MIA,@MIN,DAL,@DET,@BKN,@BOS,MEM,TOR,LAL,@NOR,@DAL,NOR,CHA,ATL,TOR,PHO,CHI,@HOU,@MEM,@DEN,@PHO,@LAC,@LAL,SAS,CHA,BOS
WAS,@PHI,ORL,ORL,CHI,CHI,@MIN,@BKN,@PHI,@BOS,MIA,PHO,@SAS,@HOU,@NOR,ATL,BKN,POR,@MIA,@MIA,@CHA,@CHI,TOR,NYK,BOS,HOU,DEN,@POR,@LAL,@LAC,@DEN,MIN,@BOS,MEM,LAC,@MEM,PHI,MIL,MIL,SAC,UTA,@BKN,@NYK,@NYK,DET,IND,CHA,@DET,DAL,@TOR,@ORL,@GSW,@PHO,@UTA,@SAC,NOR,DET,OKC,GSW,@OKC,CLE,SAS,LAL,@CLE,@DAL,IND,@MIL,@TOR,@IND,@ATL,@ATL,CLE,CHA
CHI,ATL,IND,GSW,@WAS,@WAS,@MIL,DAL,@POR,@SAC,@LAL,@LAC,@OKC,@DAL,HOU,@CHA,LAL,BOS,POR,NYK,NYK,@ORL,@ORL,WAS,NOR,LAC,@IND,DET,@PHI,SAC,@HOU,MIN,PHO,@TOR,DEN,@NOR,PHI,MIA,TOR,OKC,SAS,@DEN,@DET,UTA,CLE,@SAS,@GSW,@PHO,@UTA,BKN,@IND,@ATL,@MIN,@MEM,ORL,MEM,CLE,@BOS,@CLE,CHA,@MIA,@MIA,@NYK,MIL,@ATL,PHI,@CHA,BOS,@DET,BKN,TOR,@BKN,MIL
CHA,@CLE,OKC,BKN,@DAL,MEM,@PHI,@PHI,@ATL,@NOR,ATL,NYK,DAL,@TOR,@TOR,CHI,@ORL,@ORL,IND,IND,MIL,@MIA,PHI,UTA,WAS,HOU,@MEM,MIN,SAS,GSW,@UTA,@PHO,@GSW,@SAC,@POR,@MIN,DET,TOR,SAC,@DEN,@LAL,@LAC,@SAS,@HOU,MIA,PHO,@WAS,@BKN,@IND,@BOS,@OKC,@MIL,ATL,LAL,CLE,@BKN,POR,@NYK,@CHI,CLE,BOS,MIL,@BOS,DET,MIA,@DET,CHI,ORL,NOR,DEN,LAC,@NYK,@WAS
DET,@MIN,CLE,@ATL,GSW,BOS,BOS,@MIL,@MIL,PHO,UTA,MIL,@MIA,@MIA,@ATL,HOU,PHI,PHI,@CLE,LAL,@GSW,@UTA,@PHO,@LAL,BKN,IND,@BOS,NOR,@MEM,@ORL,@ORL,@NOR,SAC,NYK,@TOR,@NYK,@CHA,@BKN,SAS,TOR,@HOU,CHI,@IND,BKN,@WAS,TOR,POR,WAS,NYK,@OKC,@DEN,@SAC,@POR,@LAC,LAC,OKC,@WAS,CLE,@DAL,@SAS,@IND,ATL,DAL,@CHA,ORL,CHA,MEM,@PHI,CHI,MIN,DEN,MIA,
